Name,SMILES,HOMO /eV,LUMO /eV,EG /eV
244_m,O=S(=O)(O)c1cocc1S(=O)(=O)O,-8.154259,-1.592239,6.56202
245_m,CC(=O)Nc1ccc2nccnc2c1,-6.207938,-1.907217,4.300721
246_m,FC(F)(F)c1ccc2nonc2c1,-7.343771,-2.883981,4.45979
247_m,Fc1cc2nsnc2cn1,-7.065162,-3.029654,4.035508
248_m,CNc1ccc2nsnc2c1,-5.554663,-1.904147,3.650516
249_m,O=Cc1ccc2nccnc2c1,-7.094716,-2.538771,4.555945
250_m,Fc1cc2ccccc2cc1F,-6.097221,-1.252902,4.84432
251_m,Cc1cc2nsnc2cc1C,-6.361464,-2.138701,4.222762
252_m,Brc1cocc1Br,-6.618829,-0.645125,5.973704
253_m,Sc1ccsc1,-5.879347,-0.387637,5.49171
254_m,Oc1cc2nsnc2cn1,-6.442016,-2.766892,3.675124
255_m,CC(=O)Nc1ccc2ccccc2c1,-5.59107,-1.029051,4.56202
256_m,Brc1cc2c(cc1Br)SCS2,-5.974455,-1.145337,4.829118
257_m,Brc1nc2ccccc2nc1Br,-7.09258,-2.447982,4.644598
258_m,Fc1ccc2nonc2c1,-7.002028,-2.602793,4.399236
259_m,Brc1cscc1Br,-6.771443,-0.966261,5.805183
260_m,CC(=O)Oc1nc2cocc2nc1OC(C)=O,-6.25412,-2.254387,3.999733
261_m,Sc1ccc2nsnc2c1,-6.26731,-2.411032,3.856278
262_m,CNc1nc2cscc2nc1NC,-5.413411,-1.253704,4.159707
263_m,Sc1cc2nonc2cn1,-6.656966,-3.036269,3.620696
264_m,CC(=O)Nc1cocc1NC(C)=O,-5.769114,-0.036642,5.732472
265_m,O=S(=O)(O)c1cc2c(cc1S(=O)(=O)O)SCS2,-6.722734,-2.362402,4.360333
266_m,O=S(=O)(O)c1nc2ccccc2nc1S(=O)(=O)O,-7.944241,-3.444921,4.49932
267_m,COc1cnc2cocc2n1,-5.883827,-1.850142,4.033685
268_m,O=Cc1cnc2ccccc2n1,-6.875292,-2.648432,4.226859
269_m,O=Cc1cscc1C=O,-6.898406,-2.015843,4.882564
270_m,O=Cc1cocc1C=O,-6.996621,-2.01027,4.986351
271_m,CNc1cc2c(cc1NC)SCS2,-4.63835,-0.116121,4.522229
272_m,Fc1cscc1F,-6.75829,-0.607688,6.150602
273_m,CNc1ccc2nccnc2c1,-5.51376,-1.531405,3.982355
274_m,Brc1ccc2c(c1)SCS2,-5.816475,-0.756771,5.059704
275_m,N#Cc1ccc2nsnc2c1,-7.225587,-3.057381,4.168206
276_m,CC(=O)Nc1cc2nsnc2cc1NC(C)=O,-6.261005,-2.2373,4.023705
277_m,Oc1nc2cscc2nc1O,-5.986789,-1.791289,4.1955
278_m,CC(=O)Oc1ccoc1,-6.071354,-0.146272,5.925081
279_m,Brc1cc2nonc2cc1Br,-7.143101,-2.987542,4.15556
280_m,N#Cc1nc2cocc2nc1C#N,-7.181594,-3.649037,3.532556
281_m,Oc1cnc2cscc2n1,-6.088191,-2.075766,4.012425
282_m,Oc1nc2cocc2nc1O,-5.83815,-1.688625,4.149525
283_m,Fc1cc2nonc2cc1F,-7.195379,-2.705175,4.490204
284_m,Oc1nc2ccccc2nc1O,-6.257144,-1.51988,4.737265
285_m,O=S(=O)(O)c1ccc2nccnc2c1,-7.270404,-2.578552,4.691852
286_m,CC(=O)Nc1nc2ccccc2nc1NC(C)=O,-6.342982,-1.805472,4.537509
287_m,Oc1ccc2nonc2c1,-6.558364,-2.282459,4.275905
288_m,N#Cc1cc2ccccc2cc1C#N,-6.884254,-2.339775,4.544479
289_m,Brc1cc2nccnc2cc1Br,-6.990076,-2.438236,4.55184
290_m,FC(F)(F)c1nc2ccccc2nc1C(F)(F)F,-7.362541,-2.702595,4.659945
291_m,Sc1nc2cscc2nc1S,-6.119854,-2.276432,3.843422
292_m,CC(=O)Oc1nc2cscc2nc1OC(C)=O,-6.376688,-2.316462,4.060226
293_m,N#Cc1cc2c(cc1C#N)SCS2,-6.585351,-2.400532,4.184818
294_m,FC(F)(F)c1cc2c(cc1C(F)(F)F)SCS2,-6.277393,-1.519012,4.758381
295_m,Cc1cc2nonc2cn1,-7.100017,-2.860491,4.239526
296_m,CNc1cc2nsnc2cc1NC,-5.600139,-1.602637,3.997502
297_m,O=Cc1cc2nonc2cn1,-7.558629,-3.508284,4.050345
298_m,O=S(=O)(O)c1nc2cocc2nc1S(=O)(=O)O,-7.480539,-3.778246,3.702293
