Name,SMILES,HOMO /eV,LUMO /eV,EG /eV,Planarity,SA Score
195,COc1cc2c:C(c3occ4ncc(NC(C)=O)nc34):[nH]c2cc1OC,-4.851005,-2.289495,2.56151,0.9999632659071602,2.938340300274472
196,CNc1cnc2coc(C3:cc4cc(OC)c(OC)cc4[nH]:3)c2n1,-4.380146,-1.915335,2.464811,0.9999943151375602,2.997478288939851
197,COc1cnc2coc(C3:cc4cc(OC)c(OC)cc4[nH]:3)c2n1,-4.605936,-2.028492,2.577444,0.999999995537862,2.9218582220502185
198,COc1cc2c:C(c3occ4ncc(C=O)nc34):[nH]c2cc1OC,-5.03527,-2.862693,2.172577,0.9999999985519964,3.076632135093698
199,COc1cc2c:C(c3occ4ncc(S(=O)(=O)O)nc34):[nH]c2cc1OC,-5.31717,-3.021197,2.295973,0.9994125537051954,3.186616423077991
200,COc1cc2c:C(c3occ4ncc(C(F)(F)F)nc34):[nH]c2cc1OC,-5.286445,-2.784126,2.502319,0.999937772979067,3.02154561169759
201,COc1cc2c:C(c3occ4ncc(F)nc34):[nH]c2cc1OC,-4.78061,-2.406988,2.373622,0.9999999999085633,3.052671241505302
202,COc1cc2c:C(c3occ4ncc(O)nc34):[nH]c2cc1OC,-4.651218,-2.150098,2.50112,0.9999999912707882,3.125917395351456
203,COc1cc2c:C(c3occ4ncc(S)nc34):[nH]c2cc1OC,-4.730351,-2.323919,2.406432,0.9999999998694944,3.261343269477329
204,COc1cc2c:C(c3occ4ncc(Br)nc34):[nH]c2cc1OC,-4.866285,-2.531788,2.334497,0.9999999995026364,3.0359194932535543
205,COc1cc2c:C(c3occ4nccnc34):[nH]c2cc1OC,-4.726242,-2.296891,2.429351,0.9999999923528724,2.826231770648296
206,COc1cc2c:C(c3occ4ncc(C)nc34):[nH]c2cc1OC,-4.650681,-2.145505,2.505177,0.9999999956836324,2.876529283463343
207,COc1cc2c:C(c3occ4ncc(C#N)nc34):[nH]c2cc1OC,-5.076558,-2.936161,2.140397,0.9999999961182748,3.0667893257291485
208,COc1cc2c:C(c3occ4nc(OC(C)=O)cnc34):[nH]c2cc1OC,-4.95777,-2.361312,2.596458,0.9999969086640468,3.042543834578005
209,COc1cc2c:C(c3occ4nc(NC(C)=O)cnc34):[nH]c2cc1OC,-4.664974,-2.193896,2.471078,0.9999999974407188,2.933799136033306
210,CNc1cnc2c(C3:cc4cc(OC)c(OC)cc4[nH]:3)occ2n1,-4.635344,-1.961403,2.673941,0.9999977663381971,2.992608054826139
211,COc1cnc2c(C3:cc4cc(OC)c(OC)cc4[nH]:3)occ2n1,-4.797356,-2.080947,2.716409,0.9999992025256904,2.9349940080033967
212,COc1cc2c:C(c3occ4nc(C=O)cnc34):[nH]c2cc1OC,-4.912858,-2.859929,2.052929,0.9999999995281592,3.0746715999766403
213,COc1cc2c:C(c3occ4nc(S(=O)(=O)O)cnc34):[nH]c2cc1OC,-5.379217,-3.169876,2.20934,0.999958986140786,3.164079436776622
214,COc1cc2c:C(c3occ4nc(C(F)(F)F)cnc34):[nH]c2cc1OC,-5.135354,-2.717226,2.418128,0.999999580373671,3.0361959805068643
215,COc1cc2c:C(c3occ4nc(F)cnc34):[nH]c2cc1OC,-4.856583,-2.399016,2.457568,0.9999999992334906,3.0650152974493583
216,COc1cc2c:C(c3occ4nc(O)cnc34):[nH]c2cc1OC,-4.708159,-2.131167,2.576992,0.9999999992792444,3.1199362764703373
217,COc1cc2c:C(c3occ4nc(S)cnc34):[nH]c2cc1OC,-4.770891,-2.300571,2.47032,0.9999999998278458,3.2736873254213865
218,COc1cc2c:C(c3occ4nc(Br)cnc34):[nH]c2cc1OC,-4.913148,-2.534262,2.378886,0.9999999998504178,3.0545803324143934
219,COc1cc2c:C(c3occ4nc(C)cnc34):[nH]c2cc1OC,-4.667628,-2.135095,2.532533,0.9999999998109466,2.884690122624184
220,COc1cc2c:C(c3occ4nc(C#N)cnc34):[nH]c2cc1OC,-5.040447,-2.963363,2.077084,0.9999999854640272,3.07859668358868
221,COc1cc2c:C(c3scc4sc(=S)sc34):[nH]c2cc1OC,-5.044313,-2.221673,2.82264,0.9999999979468176,3.103077203340604
226,COc1cc2c:C(c3cc(C=O)cc4c3SCS4):[nH]c2cc1OC,-5.494544,-1.921703,3.572842,0.7801028348210228,3.128874275561925
240,COc1cc2c:C(c3c(C=O)ccc4c3SCS4):[nH]c2cc1OC,-5.548681,-1.845072,3.703609,0.6477569329010993,3.1400675865987138
253,COc1cc2c:C(c3cccc4ccc(C=O)cc34):[nH]c2cc1OC,-5.261129,-1.935989,3.32514,0.7930571838377213,2.274416620792028
254,COc1cc2c:C(c3cccc4ccc(S(=O)(=O)O)cc34):[nH]c2cc1OC,-5.380033,-1.919539,3.460494,0.7419855517178444,2.294401063052595
262,COc1cc2c:C(c3cccc4ccc(C#N)cc34):[nH]c2cc1OC,-5.289928,-1.89337,3.396558,0.794712152922337,2.2517627746381805
267,COc1cc2c:C(c3cccc4cc(C=O)ccc34):[nH]c2cc1OC,-5.236468,-2.009216,3.227253,0.7087128275746503,2.262720466945874
268,COc1cc2c:C(c3cccc4cc(S(=O)(=O)O)ccc34):[nH]c2cc1OC,-5.320281,-1.841986,3.478296,0.7084533767773624,2.2819030873440944
275,COc1cc2c:C(c3cccc4cc(C#N)ccc34):[nH]c2cc1OC,-5.32207,-1.899822,3.422248,0.7090189348162893,2.2455627746381808
281,COc1cc2c:C(c3c(C=O)ccc4ccccc34):[nH]c2cc1OC,-5.353698,-1.923729,3.429969,0.5557649933122057,2.319857005407412
282,COc1cc2c:C(c3c(S(=O)(=O)O)ccc4ccccc34):[nH]c2cc1OC,-5.697197,-1.995587,3.70161,0.7190792446627469,2.3462312249959165
289,COc1cc2c:C(c3c(C#N)ccc4ccccc34):[nH]c2cc1OC,-5.291439,-1.896524,3.394915,0.670084620564993,2.3042012361766417
294,COc1cc2c:C(c3cc(C=O)cc4ccccc34):[nH]c2cc1OC,-5.242499,-2.026113,3.216386,0.706645898936164,2.3235204669458724
295,COc1cc2c:C(c3cc(S(=O)(=O)O)cc4ccccc34):[nH]c2cc1OC,-5.499623,-1.908119,3.591504,0.7170270555349757,2.335476771554621
