Name,SMILES,Donor,Acceptor,D_A EG /eV,A_D EG /eV
6642,COc1cc2cc(C#Cc3cc(F)cc4nonc34)n(C)c2cc1OC,c1cc2cc(OC)c(OC)cc2n1C,c1cc(F)cc2nonc12,2.222874025,7.308156082
6643,COc1cc2cc(C=Nc3cc(C(F)(F)F)co3)n(C)c2cc1OC,c1cc2cc(OC)c(OC)cc2n1C,c1cc(C(F)(F)F)co1,4.651569025,7.118202082
6644,CNc1ccc2ccccc2c1C#Cc1cc2cc(OC)c(OC)cc2[nH]1,c1c(NC)ccc2ccccc12,c1cc2cc(OC)c(OC)cc2[nH]1,5.275504,4.227837
6645,COc1cc2ccn(C)c2c(C=Nc2c(Br)ncc3nsnc23)c1OC,c1c(OC)c(OC)cc2ccn(C)c12,c1c(Br)ncc2nsnc12,1.6766830247670002,7.338895082
6646,COc1cc2cc(N=Cc3occ4ncc(C=O)nc34)n(C)c2cc1OC,c1cc2cc(OC)c(OC)cc2n1C,c1occ2ncc(C=O)nc12,1.915208025,6.827440082
6647,COc1cc2cc[nH]c2c(C#Cc2cccc3ncc(C#N)nc23)c1OC,c1c(OC)c(OC)cc2cc[nH]c12,c1cccc2ncc(C#N)nc12,2.139873,7.436185
6648,COc1cc2ccn(C)c2c(C=Nc2nccc3nsnc23)c1OC,c1c(OC)c(OC)cc2ccn(C)c12,c1nccc2nsnc12,2.003813025,7.393761082
6649,COc1cc2cc(C#Cc3c(F)ccc4nccnc34)[nH]c2cc1OC,c1cc2cc(OC)c(OC)cc2[nH]1,c1c(F)ccc2nccnc12,2.793403,7.018566
6650,COc1cc2cc(C=NC3:cc(NC(C)=O)cc4nsnc:34)n(C)c2cc1OC,c1cc2cc(OC)c(OC)cc2n1C,c1cc(NC(C)=O)cc2nsnc12,2.532408025,6.497415082
6651,COc1cc2c(cc(C(=O)O)n2C)c(N=Cc2cc(C=O)cc3nonc23)c1OC,c1c(OC)c(OC)cc2c1cc(C(=O)O)n2C,c1cc(C=O)cc2nonc12,2.1756750000000005,6.294495
6652,COc1cc2[nH]c(C(=O)O)cc2c(C=Nc2cc(C=O)cc3nsnc23)c1OC,c1c(OC)c(OC)cc2[nH]c(C(=O)O)cc12,c1cc(C=O)cc2nsnc12,2.389968,6.008878
6653,COc1cc(-c2c(OC)c(OC)cc3c2ccn3C)sc1C1:nc(C#N)cc2nonc:12,c1nc(C#N)cc2nonc12,c1c(OC)c(OC)cc2c1ccn2C,8.231816082,1.1642680247670003
6654,COc1cc2cc[nH]c2c(C=Cc2cccc3ncc(Br)nc23)c1OC,c1c(OC)c(OC)cc2cc[nH]c12,c1cccc2ncc(Br)nc12,2.631371,7.150756
6655,COc1cc2[nH]ccc2c(C=Cc2c(S)ncc3nonc23)c1OC,c1c(OC)c(OC)cc2[nH]ccc12,c1c(S)ncc2nonc12,1.8372900000000003,6.882998
6656,COc1cc2cc(C#Cc3cc(NC(C)=O)cc4ccccc34)[nH]c2cc1OC,c1cc2cc(OC)c(OC)cc2[nH]1,c1cc(NC(C)=O)cc2ccccc12,3.844508,5.817102
6657,CNc1ccc2c(c1C#Cc1cc3cc(OC)c(OC)cc3n1C)SCS2,c1c(NC)ccc2c1SCS2,c1cc2cc(OC)c(OC)cc2n1C,5.234109082,4.602364024767001
6658,COc1cc2cc(C#Cc3sccc3C#N)n(C)c2cc1OC,c1cc2cc(OC)c(OC)cc2n1C,c1sccc1C#N,3.452023025,7.399405082
6659,COc1cc2cc(C#Cc3occ4ncc(F)nc34)[nH]c2cc1OC,c1cc2cc(OC)c(OC)cc2[nH]1,c1occ2ncc(F)nc12,2.5256450000000004,6.536551
6660,COc1cc2cc(C(=O)O)n(C)c2c(C#Cc2nc(Br)cc3nonc23)c1OC,c1c(OC)c(OC)cc2cc(C(=O)O)n(C)c12,c1nc(Br)cc2nonc12,1.9520870000000008,6.310344
6661,COc1cc2cc(C#Cc3cccc4cc(Br)ccc34)[nH]c2cc1OC,c1cc2cc(OC)c(OC)cc2[nH]1,c1cccc2cc(Br)ccc12,3.5714310000000005,6.277217
6662,COc1cc2[nH]c(C(=O)O)cc2c(C=Nc2nc(C)cc3nsnc23)c1OC,c1c(OC)c(OC)cc2[nH]c(C(=O)O)cc12,c1nc(C)cc2nsnc12,2.587426,5.7325800000000005
6663,COc1cc2[nH]c(C(=O)O)cc2c(N=Cc2c(F)ncc3nsnc23)c1OC,c1c(OC)c(OC)cc2[nH]c(C(=O)O)cc12,c1c(F)ncc2nsnc12,2.285074,6.001386
6664,COc1cc2cc(C#Cc3cc(OC(C)=O)cc4nsnc34)n(C)c2cc1OC,c1cc2cc(OC)c(OC)cc2n1C,c1cc(OC(C)=O)cc2nsnc12,2.424923025,6.928553082
6665,COc1cc2cc(C#Cc3cccc4nc(C(F)(F)F)cnc34)[nH]c2cc1OC,c1cc2cc(OC)c(OC)cc2[nH]1,c1cccc2nc(C(F)(F)F)cnc12,2.4625670000000004,7.273822
6666,COc1cc2cc[nH]c2c(C=Cc2c(OC)ccc3nccnc23)c1OC,c1c(OC)c(OC)cc2cc[nH]c12,c1c(OC)ccc2nccnc12,3.131066,6.42041
6667,COc1cc2cc[nH]c2c(N=Cc2cc(C=O)cs2)c1OC,c1c(OC)c(OC)cc2cc[nH]c12,c1cc(C=O)cs1,3.298856,7.186619
6668,COc1cc2cc[nH]c2c(C=NC2:c(C=O)ncc3nsnc:23)c1OC,c1c(OC)c(OC)cc2cc[nH]c12,c1c(C=O)ncc2nsnc12,1.568826,7.501987
6669,COc1cc2cc(C3:c(Br)ccc4nonc:34)n(C)c2cc1OC,c1c(Br)ccc2nonc12,c1cc2cc(OC)c(OC)cc2n1C,7.360198082,2.0713030247670003
6670,CNc1ccc2c(C#Cc3cc4cc(OC)c(OC)cc4n3C)cccc2c1,c1cccc2cc(NC)ccc12,c1cc2cc(OC)c(OC)cc2n1C,5.355600082,4.179945025
6671,COc1cc2[nH]c(C(=O)O)cc2c(C=Nc2nc(S)cc3nsnc23)c1OC,c1c(OC)c(OC)cc2[nH]c(C(=O)O)cc12,c1nc(S)cc2nsnc12,2.4231069999999995,5.301794
